ID	FL24_1_metaphlan2	XS24_2_metaphlan2	XS24_3_metaphlan2	FS24_3_metaphlan2	NS0_3_metaphlan2	FS24_2_metaphlan2	NS24_1_metaphlan2	NS0_2_metaphlan2	IN24_2_metaphlan2	GS24_2_metaphlan2	IN24_3_metaphlan2	GS24_3_metaphlan2	FL24_3_metaphlan2	FL24_2_metaphlan2	XS24_1_metaphlan2	NS24_3_metaphlan2	NS0_1_metaphlan2	FS24_1_metaphlan2	NS24_2_metaphlan2	GS24_1_metaphlan2	IN24_1_metaphlan2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales		5.29016			8.95368			8.75091			14.1694			5.48447			14.60603			0.88018			5.42465			6.80697			8.46492			6.51204			8.41273			5.64575			5.99418			8.39175			0.98106			4.9414			13.97399			0.94497			8.10825			6.36441	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae		5.29016			8.95368			8.75091			14.1694			5.48447			14.60603			0.88018			5.42465			6.80697			8.46492			6.51204			8.41273			5.64575			5.99418			8.39175			0.98106			4.9414			13.97399			0.94497			8.10825			6.36441	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium		5.29016			8.95368			8.75091			14.1694			5.48447			14.60603			0.88018			5.42465			6.80697			8.46492			6.51204			8.41273			5.64575			5.99418			8.39175			0.98106			4.9414			13.97399			0.94497			8.10825			6.36441	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis		3.39159			5.75543			5.59869			4.73803			1.80959			4.86246			0.3658			1.75503			4.11967			1.16156			4.00254			1.12895			3.61097			3.82964			5.4078			0.39306			1.6592			4.5759			0.39407			1.10337			3.83385	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.0	0.0	0.0	0.0		0.0013			0.00104		0.0		0.0012		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum		0.29677			0.20096			0.20363			1.32134			1.83755			1.36027			0.12116			1.84247			0.29078			0.75999			0.2808			0.73239			0.34732			0.3521			0.18037			0.13254			1.58157			1.32941			0.11666			0.68032			0.26648	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum		0.0359			0.06245			0.06508			0.16906			0.02193			0.18949		0.0		0.02459			0.08163			0.16924			0.07538			0.17634			0.04464			0.04536			0.05981			0.00039			0.0293			0.18368		0.0		0.1663			0.06862	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum		0.73062			2.28622			2.21609			6.58006			1.6866			6.8347			0.35531			1.70113			1.97095			5.0207			1.84741			4.9405			0.80013			0.85733			2.13767			0.39586			1.57912			6.5302			0.38451			4.78605			1.85684	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum		0.83065			0.64391			0.66742			1.32712			0.10817			1.34483			0.03791			0.10022			0.34394			1.3133			0.30591			1.37941			0.83845			0.89316			0.6017			0.05163			0.09221			1.33329			0.04559			1.3533			0.33862	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_sp_12_1_47BFAA		0.00463			0.00471		0.0		0.03379			0.01933			0.01324		0.0	0.0	0.0		0.04013		0.0		0.05514			0.00424			0.0166			0.0044			0.00757		0.0		0.02152			0.00414			0.01891		0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales		5.36692			0.1419			0.13625			0.30248			0.67305			0.3291			0.19926			0.68746			1.41003			0.0506			1.34162			0.04454			5.88643			6.03751			0.14817			0.2103			0.62689			0.30816			0.20223			0.04937			1.28314	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae		5.36692			0.1419			0.13625			0.30248			0.67305			0.3291			0.19926			0.68746			1.41003			0.0506			1.34162			0.04454			5.88643			6.03751			0.14817			0.2103			0.62689			0.30816			0.20223			0.04937			1.28314	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.0	0.0	0.0	0.0		0.00287		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_unclassified	0.0	0.0	0.0	0.0		0.00287		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.0	0.0	0.0	0.0		0.00694		0.0	0.0		0.00738		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.00204		0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_sp_ICM58	0.0	0.0	0.0	0.0		0.00694		0.0	0.0		0.00738		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.00204		0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella		5.35481			0.14021			0.13625			0.28266			0.49676			0.30502			0.15265			0.52033			1.40196			0.04824			1.33114			0.04254			5.87556			6.02843			0.14297			0.16014			0.45558			0.27984			0.15957			0.04792			1.27026	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens		5.35481			0.14021			0.13625			0.28266			0.49676			0.30502			0.15265			0.52033			1.40196			0.04824			1.33114			0.04254			5.87556			6.02843			0.14297			0.16014			0.45558			0.27984			0.15957			0.04792			1.27026	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella		0.01211			0.0017		0.0		0.01982			0.16647			0.02408			0.04661			0.15976			0.00807			0.00236			0.01048			0.002			0.01086			0.00908			0.0052			0.05016			0.16927			0.02832			0.04265			0.00146			0.01288	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta	0.0	0.0	0.0		0.01269			0.0295			0.01085			0.01192			0.02995			0.00276		0.0		0.0014		0.0	0.0		0.00067		0.0		0.01837			0.03746			0.01162			0.0187		0.0		0.00023	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA	0.0	0.0	0.0		0.00633			0.02768		0.0		0.0032			0.03594		0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.00488			0.04119		0.0		0.00217		0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_HGA1	0.0	0.0	0.0	0.0		0.02128			0.00126			0.00786			0.02522		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.03584		0.0		0.0138		0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified		0.01211			0.0017		0.0		0.0008			0.08801			0.01197			0.02362			0.06865			0.00531			0.00236			0.00908			0.002			0.01086			0.00841			0.0052			0.02691			0.05477			0.0167			0.00798			0.00146			0.01264	
k__Bacteria|p__Bacteroidetes		47.5452			37.75922			37.5804			35.98401			27.90804			35.80267			25.82717			28.34272			48.66998			34.60455			49.30188			34.64697			46.10736			45.72372			38.57012			24.89901			28.8495			36.32913			24.84659			36.24603			50.70523	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia		47.5452			37.75922			37.5804			35.98401			27.90804			35.80267			25.82717			28.34272			48.66998			34.60455			49.30188			34.64697			46.10736			45.72372			38.57012			24.89901			28.8495			36.32913			24.84659			36.24603			50.70523	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales		47.5452			37.75922			37.5804			35.98401			27.90804			35.80267			25.82717			28.34272			48.66998			34.60455			49.30188			34.64697			46.10736			45.72372			38.57012			24.89901			28.8495			36.32913			24.84659			36.24603			50.70523	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae		38.75769			32.02557			31.87773			30.58791			20.8026			30.24482			21.3468			21.16068			43.63517			25.8841			44.35391			25.93668			37.24238			36.91222			32.89331			20.54659			21.73194			31.02998			20.49768			27.23921			45.83937	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides		38.75769			32.02557			31.87773			30.58791			20.8026			30.24482			21.3468			21.16068			43.63517			25.8841			44.35391			25.93668			37.24238			36.91222			32.89331			20.54659			21.73194			31.02998			20.49768			27.23921			45.83937	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae		0.03667			0.03719			0.04537			0.04694			0.10291			0.06033			0.02491			0.08931			0.22829			0.04053			0.22629			0.04262			0.04215			0.03897			0.04078			0.01834			0.09996			0.05267			0.0235			0.0424			0.24153	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus		0.17062			1.11037			1.1108			0.21346		0.0		0.22068			0.12905		0.0		0.12432			0.27798			0.11566			0.28096			0.16602			0.17249			1.15588			0.14028			0.00113			0.22016			0.13967			0.26677			0.12283	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola		0.01696			0.20662			0.2091			0.00838			0.25918			0.01157		0.0		0.25194			0.02466		0.0		0.03073		0.0		0.00904			0.01472			0.21512		0.0		0.26473			0.01031		0.0	0.0		0.02478	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	0.0	0.0	0.0	0.0		0.38743		0.0	0.0		0.39417		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.38427		0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei		0.59968			0.69175			0.65957			0.18548			2.52711			0.2053			0.71641			2.51519			0.2899			0.30092			0.29509			0.3007			0.55318			0.5511			0.69275			0.73592			2.59058			0.19772			0.70798			0.33832			0.27621	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii		0.23426			0.23621			0.24562			0.11337			0.18947			0.11762			0.38957			0.19654			0.09185			0.06622			0.0938			0.06392			0.21802			0.22236			0.23211			0.36526			0.20864			0.10932			0.35438			0.06916			0.0867	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis		0.18926			0.06084			0.06729			0.10203			0.01038			0.10885			0.03702			0.01032			0.80214			0.22888			0.8379			0.21573			0.19554			0.20301			0.06325			0.03988			0.01355			0.11069			0.03149			0.23905			0.8475	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii		0.10884			0.06051			0.06333			0.01165			0.01416			0.01246			0.00478			0.01962			0.00391			0.01138			0.00565			0.01055			0.10351			0.10193			0.05528			0.00228			0.02119			0.01076			0.00153			0.01125			0.00193	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis		4.89468			0.88693			0.88621			2.75955			1.85103			2.73594			2.00466			1.81888			1.6178			3.02166			1.57994			3.10332			4.7146			4.77284			0.90162			1.93987			1.88532			2.83682			1.88916			3.19989			1.6663	
